Original Text,Replacement Text,Phonemes,Languages,Voice IDs,Active,Ignore Case,App Bundle IDs
HEY I’M RODA,Hey I’m RODA AI,,en-US,,FALSE,FALSE,
Seriki yakub,Ceriqi yakube,,en-GB,com.apple.ttsbundle.gryphon-neural_arthur_en-GB_premium,FALSE,TRUE,
Author ,Hoeludasileh!,,en-US,,FALSE,TRUE,
Yoruba language ,E!dey!! Yo!roobar,,en-US;en-GB,,FALSE,TRUE,
Лучший друг европейского фермера,The European farmer's best friend,Best friend to the European farmer,0.9598254605244118,,TRUE,FALSE,
"Jméno dostal díky své fibrózní struktuře, která mu dává sílu a ohebnost.",The name was given because of its fibrous structure that gives it strength and flexibility.,"They get their name from the word ""asbestiform"" - which describes the fibrous structure which endows them with strength and flexibility.",0.1094235746858033,,TRUE,FALSE,
Koira saatiin kannettua alas retkipatjan avulla.,Take a trip down the dog was on the mattress.,With the help of the camping mattress the dog was carried down.,0.1152667683508349,,TRUE,FALSE,
"Er sagt dies, natürlich, mit einer DONNERNDEN Stimme.","He says this, natural with a THUNDERING voice","He says this, of course, in a BOOMING voice.",0.6802536276882301,,TRUE,FALSE,
"Sivonen arvioi, että koko vuoden kävijämäärä tulee Serlachius-museoissa tänä vuonna lähentelemään sataatuhatta.","Sivonen, estimates that the whole of the year kävijämäärä lähentelemään Serlachius-museoissa, this year there will be 100,000.",Sivonen estimates that the total amount of visitors in the Serlachius Museums will be close to one hundred thousand this year.,-1.865108836162564,,TRUE,FALSE,
"Hymyile naapurillesi, arvosta kumppaniasi, kuuntele balladeja, käy musikaaleissa, käytä puhelintasi, keskustele, selitä, kuuntele, ole samaa mieltä, pyydä anteeksi.","To smile on our neighbours, values partners, in listening to balladi is musikaali, use the telephone, we are discussing, explain, to listen, not agree, are not apologising.","Smile at your neighbour, cherish your spouse, listen to ballads, go to musicals, use your telephone, converse, explain, listen, agree, apologise.",-1.865108836162564,,TRUE,FALSE,
Die Geschichte ist ein großartiger Lehrmeister.,History is a great instructor.,History is a great teacher.,1.524812319861807,,TRUE,FALSE,
"Современное коммерческое использование асбеста начинается в Италии, где он используется для изготовления бумаги (даже банкнот) и тканей.","Modern commercial use of asbestos Begins in Italy, where it is used to make paper (even Bills) and tissues.","Modern commercial asbestos use begins in Italy, where it is used to make paper (even bank notes) and cloth.",0.9598254605244118,,TRUE,FALSE,
Pro firmy ve Virginii a D.C. představuje daň z nemovitosti téměř polovinu státního a místního zdanění.,For companies in virginii and D.C. represents a real estate almost half of the state and local taxation .,Virginia and D.C. firms pay nearly half of their state and local tax bills in the form of property taxes.,-0.1701482581503784,,TRUE,FALSE,
Spek muistuttaa kodin paloturvallisuuden kertaamisesta.,Spek resembles a home fire safety stranding.,SPEK reminds about revising the fire safety at home.,-0.1701482581503784,,TRUE,FALSE,
"Norwegian Cruise se sídlem v Miami provozuje třináct výletních lodí na plavbách v Severní Americe, Středozemním moři a Baltském moři, Střední Americe a Karibiku.","Norwegian Cruise headquartered in Miami operates thirteen cruise ships on voyages in North America, the Mediterranean and the Baltic Sea, Central America and the Caribbean.","Miami-based Norwegian Cruise operates 13 cruise ships in routes spanning North America, the Mediterranean, the Baltic, Central America and the Caribbean.",1.245240487025625,,TRUE,FALSE,
Kokeeseen osallistui yksi urosgekko ja neljä naarasta.,The test was part of one of the male gekko and the four plans.,One male gecko and four female geckos participated in the experiment.,-0.1701482581503784,,TRUE,FALSE,
"Yleinen mielipide sai aikaan sen, mitä laeilla ja pannaan julistamisella ei ollut saavutettu: aivan kuten kirjallisuuden saralla ihmiset valitsivat luettavakseen sankareiden muistelmia, keittokirjoja ja romansseja, musiikin osalta he suosivat balladeja.","Public opinion led to what the law and to declare did not have been achieved: just as in the field of literature memoirs luettavakseen chose the heroes of the people, as regards the recipe book and romance, music they prefer balladi.","Popular taste did what edict and proscription could never have done, and just as, when it came to books, the people chose rags-to-riches memoirs, cookbooks and romances, so, when it came to music, they chose ballads.",-1.0088637566589236,,TRUE,FALSE,
Die Größe bleibt aber immer noch Weltrekord.,"The size remains, however, still world record.","That said, the size will still be a world record.",0.9598254605244118,,TRUE,FALSE,
Twitch má měsíčně 55 milionů návštěv a je čtvrtý na vrcholu internetového provozu.,Twitch has 55 million visits a month and is fourth on the top of Internet traffic.,Twitch has 55 million unique visitors monthly and is the fourth-largest source of peak internet traffic.,0.6802536276882301,,TRUE,FALSE,
Zpoždění letadla následně způsobilo zpoždění dalších letů včetně letu společnosti Emirates z Dubaje a letu společnosti Qantas ze Sydney.,A delay of aircraft subsequently the delay of other flights a flight of a company Emirates from Dubai and of the flight of the company Qantas from Sydney caused.,"That flight's delay caused the subsequent delay of a few other flights, including an Emirates flight from Dubai and a Qantas flight from Sydney.",-0.4380337036564968,,TRUE,FALSE,
Dennoch wuchs Henry als Kind ohne Liebesbezeugungen seiner Eltern auf.,Nevertheless Henry grew up as a child without Liebesbezeugungen of its parents.,"None the less, Henry emerged from a childhood stripped of parental affection.",-1.865108836162564,,TRUE,FALSE,
"Pokud se vám líbí, připravte si více než 40 000 Kč.","If you like, prepare to more than 40 000 Kč.","If you like it, prepare to pay more than CZK 40,000.",0.1094235746858033,,TRUE,FALSE,
Классическим примером O2O являются сервисы по продаже купонов вроде Groupon или Vigoda.ru.,A classic example is O2O services for the sale of coupons like Groupon or Vigoda.ru.,A classic example of O2O includes coupon retail services like Groupon or Vigoda.ru.,0.6802536276882301,,TRUE,FALSE,
"Исполнительный комитет по вопросам здравоохранения и промышленной безопасности в Великобритании требует, чтобы все подрядчики, работающие с асбестом, получали лицензию.","The executive committee on health and safety in the Uk requires that all contractors working with asbestos, received a license.",Health and Safety Executive in Britain requires all contractors working with asbestos to be licensed.,0.6802536276882301,,TRUE,FALSE,
"""Wir stehen kurz vor einem Punkt, an dem es kein Zurück mehr gibt,"" warnte Poroshenko.","'We are on the eve of the point of no return,' warned Poroshenko.","""We are close to the point of no return,"" Poroshenko warned.",1.245240487025625,,TRUE,FALSE,
